Interest-Objective,Accountant,Brand Advisor,CEO,CFA,CFO,Co-founder,Company Secretary,COO,CTO,Designer,Entrepreneur,Executive,Finance Specialist,Financial Advisor,Financial Analyst,Graphic Designer,Growth hacker,Influencer,Investment fund,Investor,Journalist,Lawyer,Marketing Agency,Professional,Sales Specialist,Software Engineer,Startup,UI/UX Designer,Videographer,Writer
Technical Experts - Share my industry expertise,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.8,0.1,0.1,0.1,0.1
Technical Experts - Learn about specific industries,0.1,0.1,0.1,0.2,0.2,0.4,0.1,0.2,0.9,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.1,0.1,0.1
Technical Experts - Share product or technical knowledge,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.8,0.1,0.1,0.1,0.1
Technical Experts - Speak with product or technical experts,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.8,0.1,0.1,0.1,0.1
Technical Experts - Explore work & other partnerships,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.9,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.9,0.1,0.1,0.1,0.1
Technical Experts - Acquire customers,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.9,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.9,0.1,0.1,0.1,0.1
Technical Experts - Explore shared interests,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.9,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.9,0.2,0.1,0.1,0.1
Marketing Experts - Explore new perspectives,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0.3,0.1,0.1,0.4,0.1,0.9,0.1,0.9,0.1,0.1,0.3,0.6,0.5
Marketing Experts - Meet Interesting People,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.3,0.2,0.2,0.2,0.5,0.7,0.3,0.2,0.2,0.5,0.2,0.9,0.3,0.9,0.2,0.2,0.3,0.5,0.6
Marketing Experts - Start a Company,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.4,0.2,0.2,0.5,0.2,0.9,0.2,0.9,0.2,0.2,0.5,0.7,0.4
Marketing Experts - Provide Job opportunities,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.8,0.3,0.1,0.1,0.4,0.1,0.7,0.1,0.8,0.1,0.1,0.6,0.6,0.6
Marketing Experts - Explore job opportunities,0.1,0.8,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.4,0.2,0.1,0.1,0.1,0.1,0.4,0.7,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.7,0.2,0.2,0.2,0.5,0.4
Marketing Experts - Invest in companies / make investor introductions,0.1,0.9,0.3,0.1,0.1,0.3,0.1,0.1,0.3,0.4,0.3,0.1,0.1,0.1,0.1,0.4,0.5,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.9,0.2,0.2,0.3,0.6,0.2
