Manufacturer,Model,Price Display,Price
samsung,SM-A307FN,"16,300.00",16300
Xiaomi,Redmi Note 9 Pro,"13,000.00",13000
vivo,vivo 1907,"16,990.00",16990
samsung,SM-M315F,"16,999.00",16999
samsung,SM-J701F,"10,000.00",10000
realme,RMX2002,"13,000.00",13000
HMD Global,Nokia 6.2,"11,000.00",11000
motorola,moto e5 plus,"11,943.00",11943
samsung,SM-M305F,"12,499.00",12499
realme,RMX2193,"10,000.00",10000
motorola,moto g(6) plus,"12,000.00",12000
Xiaomi,Mi A2,"13,000.00",13000
Xiaomi,Redmi 8,"10,000.00",10000
HUAWEI,AUM-AL20,"10,000.00",10000
vivo,vivo 1726,"10,000.00",10000
HMD Global,Nokia 2.4,"10,000.00",10000
HUAWEI,BLN-L22,"10,000.00",10000
OPPO,CPH2185,"10,000.00",10000
HMD Global,Nokia 6.1,"10,000.00",10000
HMD Global,Nokia 4.2,"10,000.00",10000
Xiaomi,M2004J19PI,"10,000.00",10000
Xiaomi,M2006C3MI,"10,000.00",10000
GIONEE,GIONEE A1,"10,000.00",10000
motorola,moto g(8) power lite,"10,000.00",10000
Xiaomi,Redmi Y3,"10,000.00",10000
motorola,Moto G (5),"10,000.00",10000
vivo,V2052,"10,000.00",10000
GIONEE,A1 Plus,"10,000.00",10000
realme,RMX2050,"10,000.00",10000
samsung,GT-P5113,"10,000.00",10000
TECNO MOBILE LIMITED,TECNO IA5,"10,000.00",10000
realme,RMX2020,"10,000.00",10000
vivo,vivo 1812,"10,000.00",10000
realme,RMX2027,"10,000.00",10000
samsung,SM-G532G,"10,000.00",10000
TECNO MOBILE LIMITED,TECNO ID3k,"10,000.00",10000
samsung,GT-I9060I,"10,000.00",10000
TECNO MOBILE LIMITED,TECNO KE6j,"10,000.00",10000
vivo,vivo 1724,"10,000.00",10000
samsung,SM-G550FY,"10,000.00",10000
Xiaomi,HM NOTE 1LTE,"10,000.00",10000
Xiaomi,M2010J19CI,"10,000.00",10000
OPPO,CPH2137,"10,000.00",10000
samsung,SM-G531F,"10,000.00",10000
YuLong,Coolpad 3600I,"10,000.00",10000
samsung,SM-G530H,"10,000.00",10000
samsung,SM-G532F,"10,000.00",10000
samsung,SM-J710F,"10,000.00",10000
LAVA,Z91,"10,099.00",10099
Micromax,Micromax E455,"10,190.00",10190
Letv,Le X507,"10,499.00",10499
samsung,SM-J400F,"10,990.00",10990
vivo,vivo 1916,"10,999.00",10999
INFINIX MOBILITY LIMITED,Infinix X682C,"10,999.00",10999
motorola,MotoG3-TE,"10,999.00",10999
realme,RMX1925,"11,000.00",11000
vivo,vivo 1811,"11,000.00",11000
samsung,SM-G7102,"11,000.00",11000
realme,RMX2030,"11,000.00",11000
Xiaomi,MI MAX,"11,000.00",11000
Xiaomi,Redmi Note 3,"11,000.00",11000
OPPO,CPH1931,"11,000.00",11000
OPPO,CPH2083,"11,000.00",11000
samsung,SM-T285YD,"11,000.00",11000
Xiaomi,MI PLAY,"11,000.00",11000
TECNO MOBILE LIMITED,TECNO ID5a,"11,000.00",11000
Micromax,IN_Note1,"11,000.00",11000
samsung,SM-A207F,"11,490.00",11490
samsung,SM-A202F,"11,490.00",11490
TECNO MOBILE LIMITED,TECNO LD7j,"11,500.00",11500
samsung,SM-J700F,"11,700.00",11700
realme,RMX1911,"12,000.00",12000
OPPO,CPH2139,"12,000.00",12000
OPPO,CPH2015,"12,000.00",12000
HUAWEI,DUB-LX1,"12,000.00",12000
realme,RMX2103,"12,000.00",12000
realme,RMX2195,"12,000.00",12000
LENOVO,Lenovo A7020a48,"12,499.00",12499
vivo,vivo 1901,"12,900.00",12900
motorola,motorola one power,"12,990.00",12990
INFINIX MOBILITY LIMITED,Infinix X660,"12,999.00",12999
samsung,SM-E700H,"12,999.00",12999
INFINIX MOBILITY LIMITED,Infinix X655F,"12,999.00",12999
INFINIX MOBILITY LIMITED,Infinix X604B,"12,999.00",12999
motorola,moto g(30),"12,999.00",12999
Xiaomi,Mi A1,"13,000.00",13000
OPPO,CPH1809,"13,000.00",13000
vivo,vivo 1803,"13,000.00",13000
HUAWEI,BND-AL10,"13,000.00",13000
OPPO,CPH1938,"13,000.00",13000
samsung,SM-G570F,"13,000.00",13000
LGE,LM-X440IM,"13,000.00",13000
OPPO,CPH1881,"13,000.00",13000
GiONEE,M5_lite,"13,000.00",13000
asus,ASUS_X01AD,"13,000.00",13000
realme,RMX2180,"13,000.00",13000
OPPO,CPH1725,"13,000.00",13000
HMD Global,Nokia 8.1,"13,000.00",13000
Xiaomi,Redmi Note 9S,"13,000.00",13000
samsung,GT-I9300I,"13,000.00",13000
OPPO,CPH1613,"13,000.00",13000
Xiaomi,POCO M2 Pro,"13,000.00",13000
LENOVO,Lenovo TB-X606V,"13,999.00",13999
OPPO,CPH1933,"14,000.00",14000
OPPO,A33f,"14,000.00",14000
LGE,LM-Q730,"14,000.00",14000
vivo,vivo 1714,"14,000.00",14000
realme,RMX2040,"14,000.00",14000
HMD Global,TA-1053,"14,000.00",14000
HUAWEI,HRY-AL00,"14,000.00",14000
vivo,V2033,"14,000.00",14000
samsung,SM-M127G,"14,000.00",14000
motorola,Moto G (5) Plus,"14,999.00",14999
samsung,SM-A217F,"14,999.00",14999
vivo,vivo 1851,"14,999.00",14999
vivo,V2029,"17,000.00",17000
samsung,SM-G600FY,"17,500.00",17500
samsung,SM-M307F,"17,990.13",17990
HUAWEI,STK-L22,"18,000.00",18000
motorola,motorola one fusion+,"18,000.00",18000
Realme,RMX1901,"18,000.00",18000
vivo,vivo 2018,"18,000.00",18000
samsung,SM-A507FN,"18,570.00",18570
samsung,SM-A605G,"18,999.00",18999
samsung,SM-A505F,"20,000.00",20000
HUAWEI,COR-AL00,"20,000.00",20000
Xiaomi,M2007J20CI,"20,000.00",20000
Google,Pixel 2 XL,"15,000.00",15000
vivo,vivo 1915,"15,990.00",15990
motorola,Moto G (5S) Plus,"15,999.00",15999
HUAWEI,LLD-AL20,"16,000.00",16000
samsung,SM-J810G,"19,500.00",19500
vivo,vivo 1716,"21,000.00",21000
OPPO,CPH1823,"23,000.00",23000
realme,RMX3092,"15,000.00",15000
Xiaomi,POCO X2,"16,000.00",16000
vivo,vivo 1935,"17,000.00",17000
vivo,vivo 1819,"24,000.00",24000
INFINIX MOBILITY LIMITED,Infinix X687B,"15,999.00",15999
vivo,vivo 1902,"15,990.00",15990
realme,RMX1921,"16,000.00",16000
vivo,vivo 1818,"25,000.00",25000
vivo,vivo 1917,"16,990.00",16990
realme,RMX2001,"15,000.00",15000
samsung,SM-G611F,"15,000.00",15000
vivo,vivo 1713,"15,000.00",15000
samsung,SM-J730GM,"15,000.00",15000
OPPO,CPH1701,"15,000.00",15000
OPPO,CPH2061,"15,000.00",15000
asus,ASUS_X01BDA,"15,000.00",15000
vivo,vivo 1807,"15,000.00",15000
vivo,V2027,"15,000.00",15000
samsung,SM-G615FU,"15,000.00",15000
vivo,vivo 1938,"15,000.00",15000
OPPO,CPH2179,"15,000.00",15000
OPPO,CPH1893,"15,000.00",15000
HUAWEI,HRY-AL00Ta,"15,000.00",15000
vivo,vivo V3,"15,000.00",15000
vivo,V2037,"15,000.00",15000
LGE,LG-M700,"15,000.00",15000
HUAWEI,LDN-L21,"15,000.00",15000
vivo,vivo 1609,"15,000.00",15000
samsung,SM-J600GF,"15,000.00",15000
samsung,SM-J720F,"15,000.00",15000
PANASONIC,Eluga_Ray_700,"15,000.00",15000
